game_id,trick_number,player_idx,is_declarer,hand,current_trick,played_cards,legal_actions,rulebased_choice,rulebased_value,best_action,best_value,is_mistake,mistake_severity,num_options,value_10_Acorn,value_10_Bell,value_10_Heart,value_10_Leaf,value_7_Acorn,value_7_Bell,value_7_Heart,value_7_Leaf,value_8_Acorn,value_8_Bell,value_8_Heart,value_8_Leaf,value_9_Acorn,value_9_Bell,value_9_Heart,value_9_Leaf,value_A_Acorn,value_A_Bell,value_A_Heart,value_A_Leaf,value_K_Acorn,value_K_Bell,value_K_Heart,value_K_Leaf,value_O_Acorn,value_O_Bell,value_O_Heart,value_O_Leaf,value_U_Acorn,value_U_Bell,value_U_Heart,value_U_Leaf
0,0,0,True,7_Bell|O_Heart|7_Acorn|O_Bell|K_Bell|K_Heart|9_Acorn|8_Heart,,,7_Bell|O_Heart|7_Acorn|O_Bell|K_Bell|K_Heart|9_Acorn|8_Heart,O_Heart,0.02,8_Heart,0.035,False,0.015000000000000003,8,,,,,0.01,0.015,,,,,0.035,,0.01,,,,,,,,,0.01,0.03,,,0.015,0.02,,,,,
0,0,1,False,U_Bell|K_Leaf|A_Bell|7_Heart|U_Heart|10_Leaf|8_Acorn|A_Heart,0:O_Heart,,U_Bell|7_Heart|U_Heart|A_Heart,7_Heart,0.995,7_Heart,0.995,False,0.0,4,,,,,,,0.995,,,,,,,,,,,,0.965,,,,,,,,,,,0.99,0.99,
0,0,2,False,O_Acorn|A_Acorn|7_Leaf|10_Heart|10_Bell|U_Leaf|9_Heart|O_Leaf,0:O_Heart|1:7_Heart,,O_Acorn|10_Heart|U_Leaf|9_Heart|O_Leaf,9_Heart,0.995,O_Acorn,0.995,False,0.0,5,,,0.995,,,,,,,,,,,,0.995,,,,,,,,,,0.995,,,0.985,,,,0.985
0,1,0,True,7_Bell|7_Acorn|O_Bell|K_Bell|K_Heart|9_Acorn|8_Heart,,O_Heart|7_Heart|9_Heart|U_Acorn,7_Bell|7_Acorn|O_Bell|K_Bell|K_Heart|9_Acorn|8_Heart,O_Bell,0.0,9_Acorn,0.015,False,0.015,7,,,,,0.005,0.0,,,,,0.01,,0.015,,,,,,,,,0.01,0.005,,,0.0,,,,,,
0,1,1,False,U_Bell|K_Leaf|A_Bell|U_Heart|10_Leaf|8_Acorn|A_Heart,0:O_Bell,O_Heart|7_Heart|9_Heart|U_Acorn,U_Bell|U_Heart|A_Heart,U_Bell,1.0,U_Bell,1.0,False,0.0,3,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,1.0,1.0,
0,1,2,False,O_Acorn|A_Acorn|7_Leaf|10_Heart|10_Bell|U_Leaf|O_Leaf,0:O_Bell|1:U_Bell,O_Heart|7_Heart|9_Heart|U_Acorn,O_Acorn|10_Heart|U_Leaf|O_Leaf,U_Leaf,1.0,O_Acorn,1.0,False,0.0,4,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.995,,,,1.0
0,1,3,True,8_Leaf|8_Bell|K_Acorn|9_Bell|10_Acorn|9_Leaf|A_Leaf,0:O_Bell|1:U_Bell|2:U_Leaf,O_Heart|7_Heart|9_Heart|U_Acorn,8_Leaf|8_Bell|K_Acorn|9_Bell|10_Acorn|9_Leaf|A_Leaf,A_Leaf,0.0,10_Acorn,0.01,False,0.01,7,0.01,,,,,,,,,0.0,,0.0,,0.005,,0.005,,,,0.0,0.005,,,,,,,,,,,
0,2,0,True,7_Bell|7_Acorn|K_Bell|K_Heart|9_Acorn|8_Heart,,O_Heart|7_Heart|9_Heart|U_Acorn|O_Bell|U_Bell|U_Leaf|A_Leaf,7_Bell|7_Acorn|K_Bell|K_Heart|9_Acorn|8_Heart,8_Heart,0.0,K_Heart,0.005,False,0.005,6,,,,,0.0,0.0,,,,,0.0,,0.005,,,,,,,,,0.0,0.005,,,,,,,,,
0,2,1,False,K_Leaf|A_Bell|U_Heart|10_Leaf|8_Acorn|A_Heart,0:8_Heart,O_Heart|7_Heart|9_Heart|U_Acorn|O_Bell|U_Bell|U_Leaf|A_Leaf,U_Heart|A_Heart,U_Heart,1.0,U_Heart,1.0,False,0.0,2,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,
0,2,2,False,O_Acorn|A_Acorn|7_Leaf|10_Heart|10_Bell|O_Leaf,0:8_Heart|1:U_Heart,O_Heart|7_Heart|9_Heart|U_Acorn|O_Bell|U_Bell|U_Leaf|A_Leaf,O_Acorn|10_Heart|O_Leaf,10_Heart,1.0,O_Acorn,1.0,False,0.0,3,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,
0,2,3,True,8_Leaf|8_Bell|K_Acorn|9_Bell|10_Acorn|9_Leaf,0:8_Heart|1:U_Heart|2:10_Heart,O_Heart|7_Heart|9_Heart|U_Acorn|O_Bell|U_Bell|U_Leaf|A_Leaf,8_Leaf|8_Bell|K_Acorn|9_Bell|10_Acorn|9_Leaf,8_Leaf,0.0,8_Leaf,0.0,False,0.0,6,0.0,,,,,,,,,0.0,,0.0,,0.0,,0.0,,,,,0.0,,,,,,,,,,,
0,3,1,False,K_Leaf|A_Bell|10_Leaf|8_Acorn|A_Heart,,O_Heart|7_Heart|9_Heart|U_Acorn|O_Bell|U_Bell|U_Leaf|A_Leaf|8_Heart|U_Heart|10_Heart|8_Leaf,K_Leaf|A_Bell|10_Leaf|8_Acorn|A_Heart,A_Heart,1.0,A_Bell,1.0,False,0.0,5,,,,1.0,,,,,1.0,,,,,,,,,1.0,1.0,,,,,0.99,,,,,,,,
0,3,2,False,O_Acorn|A_Acorn|7_Leaf|10_Bell|O_Leaf,1:A_Heart,O_Heart|7_Heart|9_Heart|U_Acorn|O_Bell|U_Bell|U_Leaf|A_Leaf|8_Heart|U_Heart|10_Heart|8_Leaf,O_Acorn|O_Leaf,O_Leaf,1.0,O_Acorn,1.0,False,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,
0,3,3,True,8_Bell|K_Acorn|9_Bell|10_Acorn|9_Leaf,1:A_Heart|2:O_Leaf,O_Heart|7_Heart|9_Heart|U_Acorn|O_Bell|U_Bell|U_Leaf|A_Leaf|8_Heart|U_Heart|10_Heart|8_Leaf,8_Bell|K_Acorn|9_Bell|10_Acorn|9_Leaf,8_Bell,0.0,8_Bell,0.0,False,0.0,5,0.0,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.0,,,,,,,,,,,
0,4,2,False,O_Acorn|A_Acorn|7_Leaf|10_Bell,,O_Heart|7_Heart|9_Heart|U_Acorn|O_Bell|U_Bell|U_Leaf|A_Leaf|8_Heart|U_Heart|10_Heart|8_Leaf|A_Heart|O_Leaf|8_Bell|K_Heart,O_Acorn|A_Acorn|7_Leaf|10_Bell,A_Acorn,1.0,O_Acorn,1.0,False,0.0,4,,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,
0,4,3,True,K_Acorn|9_Bell|10_Acorn|9_Leaf,2:A_Acorn,O_Heart|7_Heart|9_Heart|U_Acorn|O_Bell|U_Bell|U_Leaf|A_Leaf|8_Heart|U_Heart|10_Heart|8_Leaf|A_Heart|O_Leaf|8_Bell|K_Heart,K_Acorn|10_Acorn,K_Acorn,0.0,K_Acorn,0.0,False,0.0,2,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
0,4,0,True,7_Bell|7_Acorn|K_Bell|9_Acorn,2:A_Acorn|3:K_Acorn,O_Heart|7_Heart|9_Heart|U_Acorn|O_Bell|U_Bell|U_Leaf|A_Leaf|8_Heart|U_Heart|10_Heart|8_Leaf|A_Heart|O_Leaf|8_Bell|K_Heart,7_Acorn|9_Acorn,7_Acorn,0.0,7_Acorn,0.0,False,0.0,2,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
0,5,2,False,O_Acorn|7_Leaf|10_Bell,,O_Heart|7_Heart|9_Heart|U_Acorn|O_Bell|U_Bell|U_Leaf|A_Leaf|8_Heart|U_Heart|10_Heart|8_Leaf|A_Heart|O_Leaf|8_Bell|K_Heart|A_Acorn|K_Acorn|7_Acorn|8_Acorn,O_Acorn|7_Leaf|10_Bell,10_Bell,1.0,O_Acorn,1.0,False,0.0,3,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,
0,5,0,True,7_Bell|K_Bell|9_Acorn,2:10_Bell|3:9_Bell,O_Heart|7_Heart|9_Heart|U_Acorn|O_Bell|U_Bell|U_Leaf|A_Leaf|8_Heart|U_Heart|10_Heart|8_Leaf|A_Heart|O_Leaf|8_Bell|K_Heart|A_Acorn|K_Acorn|7_Acorn|8_Acorn,7_Bell|K_Bell,7_Bell,0.0,7_Bell,0.0,False,0.0,2,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
0,6,1,False,K_Leaf|10_Leaf,,O_Heart|7_Heart|9_Heart|U_Acorn|O_Bell|U_Bell|U_Leaf|A_Leaf|8_Heart|U_Heart|10_Heart|8_Leaf|A_Heart|O_Leaf|8_Bell|K_Heart|A_Acorn|K_Acorn|7_Acorn|8_Acorn|10_Bell|9_Bell|7_Bell|A_Bell,K_Leaf|10_Leaf,K_Leaf,1.0,K_Leaf,1.0,False,0.0,2,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
0,6,0,True,K_Bell|9_Acorn,1:K_Leaf|2:7_Leaf|3:9_Leaf,O_Heart|7_Heart|9_Heart|U_Acorn|O_Bell|U_Bell|U_Leaf|A_Leaf|8_Heart|U_Heart|10_Heart|8_Leaf|A_Heart|O_Leaf|8_Bell|K_Heart|A_Acorn|K_Acorn|7_Acorn|8_Acorn|10_Bell|9_Bell|7_Bell|A_Bell,K_Bell|9_Acorn,9_Acorn,0.0,K_Bell,0.0,False,0.0,2,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,
1,0,3,True,8_Bell|9_Heart|U_Bell|U_Leaf|A_Heart|8_Leaf|O_Acorn|7_Leaf,,,8_Bell|9_Heart|U_Bell|U_Leaf|A_Heart|8_Leaf|O_Acorn|7_Leaf,O_Acorn,0.59,7_Leaf,0.74,True,0.15000000000000002,8,,,,,,,,0.74,,0.6,,0.685,,,0.58,,,,0.55,,,,,,0.59,,,,,0.59,,0.555
1,0,0,True,O_Bell|7_Acorn|8_Acorn|8_Heart|A_Leaf|10_Heart|9_Acorn|10_Acorn,3:O_Acorn,,O_Bell|8_Heart|10_Heart,10_Heart,0.725,10_Heart,0.725,False,0.0,3,,,0.725,,,,,,,,0.6,,,,,,,,,,,,,,,0.595,,,,,,
1,0,1,False,K_Leaf|7_Heart|O_Heart|9_Bell|U_Heart|K_Heart|A_Bell|O_Leaf,3:O_Acorn|0:10_Heart,,7_Heart|O_Heart|U_Heart|K_Heart|O_Leaf,7_Heart,0.43,7_Heart,0.43,False,0.0,5,,,,,,,0.43,,,,,,,,,,,,,,,,0.395,,,,0.22,0.18,,,0.27,
1,1,3,True,8_Bell|9_Heart|U_Bell|U_Leaf|A_Heart|8_Leaf|7_Leaf,,O_Acorn|10_Heart|7_Heart|U_Acorn,8_Bell|9_Heart|U_Bell|U_Leaf|A_Heart|8_Leaf|7_Leaf,U_Leaf,0.485,8_Leaf,0.635,True,0.15000000000000002,7,,,,,,,,0.615,,0.46,,0.635,,,0.6,,,,0.47,,,,,,,,,,,0.5,,0.485
1,1,0,True,O_Bell|7_Acorn|8_Acorn|8_Heart|A_Leaf|9_Acorn|10_Acorn,3:U_Leaf,O_Acorn|10_Heart|7_Heart|U_Acorn,O_Bell|8_Heart,O_Bell,0.39,8_Heart,0.525,True,0.135,2,,,,,,,,,,,0.525,,,,,,,,,,,,,,,0.39,,,,,,
1,1,1,False,K_Leaf|O_Heart|9_Bell|U_Heart|K_Heart|A_Bell|O_Leaf,3:U_Leaf|0:O_Bell,O_Acorn|10_Heart|7_Heart|U_Acorn,O_Heart|U_Heart|K_Heart|O_Leaf,U_Heart,0.395,O_Heart,0.72,True,0.32499999999999996,4,,,,,,,,,,,,,,,,,,,,,,,0.63,,,,0.72,0.665,,,0.395,
1,1,2,False,K_Acorn|A_Acorn|10_Bell|7_Bell|K_Bell|9_Leaf|10_Leaf,3:U_Leaf|0:O_Bell|1:U_Heart,O_Acorn|10_Heart|7_Heart|U_Acorn,K_Acorn|A_Acorn|10_Bell|7_Bell|K_Bell|9_Leaf|10_Leaf,7_Bell,0.415,9_Leaf,0.44,False,0.025000000000000022,7,,0.3,,0.41,,0.415,,,,,,,,,,0.44,0.305,,,,0.355,0.405,,,,,,,,,,
1,2,0,True,7_Acorn|8_Acorn|8_Heart|A_Leaf|9_Acorn|10_Acorn,,O_Acorn|10_Heart|7_Heart|U_Acorn|U_Leaf|O_Bell|U_Heart|7_Bell,7_Acorn|8_Acorn|8_Heart|A_Leaf|9_Acorn|10_Acorn,8_Heart,0.43,10_Acorn,0.64,True,0.21000000000000002,6,0.64,,,,0.51,,,,0.535,,0.43,,0.52,,,,,,,0.595,,,,,,,,,,,,
1,2,1,False,K_Leaf|O_Heart|9_Bell|K_Heart|A_Bell|O_Leaf,0:8_Heart,O_Acorn|10_Heart|7_Heart|U_Acorn|U_Leaf|O_Bell|U_Heart|7_Bell,O_Heart|K_Heart|O_Leaf,O_Heart,0.52,O_Leaf,0.58,True,0.05999999999999994,3,,,,,,,,,,,,,,,,,,,,,,,0.535,,,,0.52,0.58,,,,
1,2,2,False,K_Acorn|A_Acorn|10_Bell|K_Bell|9_Leaf|10_Leaf,0:8_Heart|1:O_Heart,O_Acorn|10_Heart|7_Heart|U_Acorn|U_Leaf|O_Bell|U_Heart|7_Bell,K_Acorn|A_Acorn|10_Bell|K_Bell|9_Leaf|10_Leaf,A_Acorn,0.59,K_Acorn,0.605,False,0.015000000000000013,6,,0.595,,0.6,,,,,,,,,,,,0.47,0.59,,,,0.605,0.545,,,,,,,,,,
1,2,3,True,8_Bell|9_Heart|U_Bell|A_Heart|8_Leaf|7_Leaf,0:8_Heart|1:O_Heart|2:A_Acorn,O_Acorn|10_Heart|7_Heart|U_Acorn|U_Leaf|O_Bell|U_Heart|7_Bell,9_Heart|U_Bell|A_Heart,9_Heart,0.57,9_Heart,0.57,False,0.0,3,,,,,,,,,,,,,,,0.57,,,,0.31,,,,,,,,,,,0.37,,
1,3,1,False,K_Leaf|9_Bell|K_Heart|A_Bell|O_Leaf,,O_Acorn|10_Heart|7_Heart|U_Acorn|U_Leaf|O_Bell|U_Heart|7_Bell|8_Heart|O_Heart|A_Acorn|9_Heart,K_Leaf|9_Bell|K_Heart|A_Bell|O_Leaf,A_Bell,0.575,A_Bell,0.575,False,0.0,5,,,,,,,,,,,,,,0.36,,,,0.575,,,,,0.435,0.28,,,,0.575,,,,
1,3,2,False,K_Acorn|10_Bell|K_Bell|9_Leaf|10_Leaf,1:A_Bell,O_Acorn|10_Heart|7_Heart|U_Acorn|U_Leaf|O_Bell|U_Heart|7_Bell|8_Heart|O_Heart|A_Acorn|9_Heart,10_Bell|K_Bell,10_Bell,0.67,10_Bell,0.67,False,0.0,2,,0.67,,,,,,,,,,,,,,,,,,,,0.595,,,,,,,,,,
1,3,0,True,7_Acorn|8_Acorn|A_Leaf|9_Acorn|10_Acorn,1:A_Bell|2:10_Bell|3:8_Bell,O_Acorn|10_Heart|7_Heart|U_Acorn|U_Leaf|O_Bell|U_Heart|7_Bell|8_Heart|O_Heart|A_Acorn|9_Heart,7_Acorn|8_Acorn|A_Leaf|9_Acorn|10_Acorn,7_Acorn,0.5,7_Acorn,0.5,False,0.0,5,0.335,,,,0.5,,,,0.485,,,,0.5,,,,,,,0.025,,,,,,,,,,,,
1,4,1,False,K_Leaf|9_Bell|K_Heart|O_Leaf,,O_Acorn|10_Heart|7_Heart|U_Acorn|U_Leaf|O_Bell|U_Heart|7_Bell|8_Heart|O_Heart|A_Acorn|9_Heart|A_Bell|10_Bell|8_Bell|7_Acorn,K_Leaf|9_Bell|K_Heart|O_Leaf,9_Bell,0.5,O_Leaf,0.645,True,0.14500000000000002,4,,,,,,,,,,,,,,0.5,,,,,,,,,0.475,0.355,,,,0.645,,,,
1,4,3,True,U_Bell|A_Heart|8_Leaf|7_Leaf,1:9_Bell|2:K_Bell,O_Acorn|10_Heart|7_Heart|U_Acorn|U_Leaf|O_Bell|U_Heart|7_Bell|8_Heart|O_Heart|A_Acorn|9_Heart|A_Bell|10_Bell|8_Bell|7_Acorn,U_Bell|A_Heart|8_Leaf|7_Leaf,U_Bell,0.41,A_Heart,0.65,True,0.24000000000000005,4,,,,,,,,0.375,,,,0.335,,,,,,,0.65,,,,,,,,,,,0.41,,
1,4,0,True,8_Acorn|A_Leaf|9_Acorn|10_Acorn,1:9_Bell|2:K_Bell|3:U_Bell,O_Acorn|10_Heart|7_Heart|U_Acorn|U_Leaf|O_Bell|U_Heart|7_Bell|8_Heart|O_Heart|A_Acorn|9_Heart|A_Bell|10_Bell|8_Bell|7_Acorn,8_Acorn|A_Leaf|9_Acorn|10_Acorn,A_Leaf,0.23,10_Acorn,0.705,True,0.475,4,0.705,,,,,,,,0.555,,,,0.445,,,,,,,0.23,,,,,,,,,,,,
1,5,3,True,A_Heart|8_Leaf|7_Leaf,,O_Acorn|10_Heart|7_Heart|U_Acorn|U_Leaf|O_Bell|U_Heart|7_Bell|8_Heart|O_Heart|A_Acorn|9_Heart|A_Bell|10_Bell|8_Bell|7_Acorn|9_Bell|K_Bell|U_Bell|A_Leaf,A_Heart|8_Leaf|7_Leaf,7_Leaf,0.255,A_Heart,0.27,False,0.015000000000000013,3,,,,,,,,0.255,,,,0.26,,,,,,,0.27,,,,,,,,,,,,,
1,5,0,True,8_Acorn|9_Acorn|10_Acorn,3:7_Leaf,O_Acorn|10_Heart|7_Heart|U_Acorn|U_Leaf|O_Bell|U_Heart|7_Bell|8_Heart|O_Heart|A_Acorn|9_Heart|A_Bell|10_Bell|8_Bell|7_Acorn|9_Bell|K_Bell|U_Bell|A_Leaf,8_Acorn|9_Acorn|10_Acorn,10_Acorn,0.1,9_Acorn,0.335,True,0.23500000000000001,3,0.1,,,,,,,,0.255,,,,0.335,,,,,,,,,,,,,,,,,,,
1,5,2,False,K_Acorn|9_Leaf|10_Leaf,3:7_Leaf|0:10_Acorn|1:K_Leaf,O_Acorn|10_Heart|7_Heart|U_Acorn|U_Leaf|O_Bell|U_Heart|7_Bell|8_Heart|O_Heart|A_Acorn|9_Heart|A_Bell|10_Bell|8_Bell|7_Acorn|9_Bell|K_Bell|U_Bell|A_Leaf,9_Leaf|10_Leaf,10_Leaf,1.0,10_Leaf,1.0,False,0.0,2,,,,1.0,,,,,,,,,,,,0.765,,,,,,,,,,,,,,,,
1,6,2,False,K_Acorn|9_Leaf,,O_Acorn|10_Heart|7_Heart|U_Acorn|U_Leaf|O_Bell|U_Heart|7_Bell|8_Heart|O_Heart|A_Acorn|9_Heart|A_Bell|10_Bell|8_Bell|7_Acorn|9_Bell|K_Bell|U_Bell|A_Leaf|7_Leaf|10_Acorn|K_Leaf|10_Leaf,K_Acorn|9_Leaf,K_Acorn,1.0,K_Acorn,1.0,False,0.0,2,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,
1,6,3,True,A_Heart|8_Leaf,2:K_Acorn,O_Acorn|10_Heart|7_Heart|U_Acorn|U_Leaf|O_Bell|U_Heart|7_Bell|8_Heart|O_Heart|A_Acorn|9_Heart|A_Bell|10_Bell|8_Bell|7_Acorn|9_Bell|K_Bell|U_Bell|A_Leaf|7_Leaf|10_Acorn|K_Leaf|10_Leaf,A_Heart|8_Leaf,8_Leaf,0.0,A_Heart,0.0,False,0.0,2,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,
1,6,0,True,8_Acorn|9_Acorn,2:K_Acorn|3:8_Leaf,O_Acorn|10_Heart|7_Heart|U_Acorn|U_Leaf|O_Bell|U_Heart|7_Bell|8_Heart|O_Heart|A_Acorn|9_Heart|A_Bell|10_Bell|8_Bell|7_Acorn|9_Bell|K_Bell|U_Bell|A_Leaf|7_Leaf|10_Acorn|K_Leaf|10_Leaf,8_Acorn|9_Acorn,8_Acorn,0.0,8_Acorn,0.0,False,0.0,2,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,
1,6,1,False,K_Heart|O_Leaf,2:K_Acorn|3:8_Leaf|0:8_Acorn,O_Acorn|10_Heart|7_Heart|U_Acorn|U_Leaf|O_Bell|U_Heart|7_Bell|8_Heart|O_Heart|A_Acorn|9_Heart|A_Bell|10_Bell|8_Bell|7_Acorn|9_Bell|K_Bell|U_Bell|A_Leaf|7_Leaf|10_Acorn|K_Leaf|10_Leaf,K_Heart|O_Leaf,K_Heart,1.0,K_Heart,1.0,False,0.0,2,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,
2,0,3,True,U_Heart|10_Acorn|K_Leaf|K_Bell|10_Heart|7_Acorn|10_Leaf|9_Heart,,,U_Heart|10_Acorn|K_Leaf|K_Bell|10_Heart|7_Acorn|10_Leaf|9_Heart,U_Heart,0.12,9_Heart,0.15,False,0.03,8,0.135,,0.14,0.12,0.095,,,,,,,,,,0.15,,,,,,,0.125,,0.095,,,,,,,0.12,
2,0,0,True,8_Acorn|K_Heart|K_Acorn|A_Leaf|9_Leaf|U_Acorn|O_Leaf|8_Bell,3:U_Heart,,K_Heart|U_Acorn|O_Leaf,K_Heart,0.16,K_Heart,0.16,False,0.0,3,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,0.105,0.155,,,
2,0,1,False,A_Heart|O_Heart|8_Leaf|U_Leaf|10_Bell|O_Acorn|7_Leaf|9_Bell,3:U_Heart|0:K_Heart,,A_Heart|O_Heart|U_Leaf|O_Acorn,O_Acorn,0.85,U_Leaf,0.88,False,0.030000000000000027,4,,,,,,,,,,,,,,,,,,,0.755,,,,,,0.85,,0.815,,,,,0.88
2,0,2,False,9_Acorn|U_Bell|A_Acorn|8_Heart|O_Bell|A_Bell|7_Bell|7_Heart,3:U_Heart|0:K_Heart|1:O_Acorn,,U_Bell|8_Heart|O_Bell|7_Heart,O_Bell,0.815,O_Bell,0.815,False,0.0,4,,,,,,,0.76,,,,0.8,,,,,,,,,,,,,,,0.815,,,,0.76,,
2,1,1,False,A_Heart|O_Heart|8_Leaf|U_Leaf|10_Bell|7_Leaf|9_Bell,,U_Heart|K_Heart|O_Acorn|O_Bell,A_Heart|O_Heart|8_Leaf|U_Leaf|10_Bell|7_Leaf|9_Bell,O_Heart,0.795,10_Bell,0.86,True,0.06499999999999995,7,,0.86,,,,,,0.785,,,,0.755,,0.76,,,,,0.7,,,,,,,,0.795,,,,,0.8
2,1,2,False,9_Acorn|U_Bell|A_Acorn|8_Heart|A_Bell|7_Bell|7_Heart,1:O_Heart,U_Heart|K_Heart|O_Acorn|O_Bell,U_Bell|8_Heart|7_Heart,U_Bell,0.765,7_Heart,0.815,False,0.04999999999999993,3,,,,,,,0.815,,,,0.79,,,,,,,,,,,,,,,,,,,0.765,,
2,1,3,True,10_Acorn|K_Leaf|K_Bell|10_Heart|7_Acorn|10_Leaf|9_Heart,1:O_Heart|2:U_Bell,U_Heart|K_Heart|O_Acorn|O_Bell,10_Heart|9_Heart,9_Heart,0.23,9_Heart,0.23,False,0.0,2,,,0.185,,,,,,,,,,,,0.23,,,,,,,,,,,,,,,,,
2,1,0,True,8_Acorn|K_Acorn|A_Leaf|9_Leaf|U_Acorn|O_Leaf|8_Bell,1:O_Heart|2:U_Bell|3:9_Heart,U_Heart|K_Heart|O_Acorn|O_Bell,U_Acorn|O_Leaf,U_Acorn,0.21,O_Leaf,0.305,True,0.095,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.305,0.21,,,
2,2,1,False,A_Heart|8_Leaf|U_Leaf|10_Bell|7_Leaf|9_Bell,,U_Heart|K_Heart|O_Acorn|O_Bell|O_Heart|U_Bell|9_Heart|U_Acorn,A_Heart|8_Leaf|U_Leaf|10_Bell|7_Leaf|9_Bell,A_Heart,0.775,10_Bell,0.905,True,0.13,6,,0.905,,,,,,0.835,,,,0.825,,0.825,,,,,0.775,,,,,,,,,,,,,0.82
2,2,2,False,9_Acorn|A_Acorn|8_Heart|A_Bell|7_Bell|7_Heart,1:A_Heart,U_Heart|K_Heart|O_Acorn|O_Bell|O_Heart|U_Bell|9_Heart|U_Acorn,8_Heart|7_Heart,7_Heart,0.775,8_Heart,0.805,False,0.030000000000000027,2,,,,,,,0.775,,,,0.805,,,,,,,,,,,,,,,,,,,,,
2,3,0,True,8_Acorn|K_Acorn|A_Leaf|9_Leaf|8_Bell,,U_Heart|K_Heart|O_Acorn|O_Bell|O_Heart|U_Bell|9_Heart|U_Acorn|A_Heart|7_Heart|10_Heart|O_Leaf,8_Acorn|K_Acorn|A_Leaf|9_Leaf|8_Bell,A_Leaf,0.245,A_Leaf,0.245,False,0.0,5,,,,,,,,,0.215,0.185,,,,,,0.215,,,,0.245,0.19,,,,,,,,,,,
2,3,1,False,8_Leaf|U_Leaf|10_Bell|7_Leaf|9_Bell,0:A_Leaf,U_Heart|K_Heart|O_Acorn|O_Bell|O_Heart|U_Bell|9_Heart|U_Acorn|A_Heart|7_Heart|10_Heart|O_Leaf,8_Leaf|7_Leaf,7_Leaf,0.745,7_Leaf,0.745,False,0.0,2,,,,,,,,0.745,,,,0.665,,,,,,,,,,,,,,,,,,,,
2,3,2,False,9_Acorn|A_Acorn|8_Heart|A_Bell|7_Bell,0:A_Leaf|1:7_Leaf,U_Heart|K_Heart|O_Acorn|O_Bell|O_Heart|U_Bell|9_Heart|U_Acorn|A_Heart|7_Heart|10_Heart|O_Leaf,9_Acorn|A_Acorn|8_Heart|A_Bell|7_Bell,8_Heart,0.94,8_Heart,0.94,False,0.0,5,,,,,,0.81,,,,,0.94,,0.82,,,,0.475,0.445,,,,,,,,,,,,,,
2,3,3,True,10_Acorn|K_Leaf|K_Bell|7_Acorn|10_Leaf,0:A_Leaf|1:7_Leaf|2:8_Heart,U_Heart|K_Heart|O_Acorn|O_Bell|O_Heart|U_Bell|9_Heart|U_Acorn|A_Heart|7_Heart|10_Heart|O_Leaf,K_Leaf|10_Leaf,K_Leaf,0.045,10_Leaf,0.065,False,0.020000000000000004,2,,,,0.065,,,,,,,,,,,,,,,,,,,,0.045,,,,,,,,
2,4,2,False,9_Acorn|A_Acorn|A_Bell|7_Bell,,U_Heart|K_Heart|O_Acorn|O_Bell|O_Heart|U_Bell|9_Heart|U_Acorn|A_Heart|7_Heart|10_Heart|O_Leaf|A_Leaf|7_Leaf|8_Heart|K_Leaf,9_Acorn|A_Acorn|A_Bell|7_Bell,A_Acorn,0.93,A_Bell,0.995,True,0.06499999999999995,4,,,,,,0.91,,,,,,,0.88,,,,0.93,0.995,,,,,,,,,,,,,,
2,4,3,True,10_Acorn|K_Bell|7_Acorn|10_Leaf,2:A_Acorn,U_Heart|K_Heart|O_Acorn|O_Bell|O_Heart|U_Bell|9_Heart|U_Acorn|A_Heart|7_Heart|10_Heart|O_Leaf|A_Leaf|7_Leaf|8_Heart|K_Leaf,10_Acorn|7_Acorn,7_Acorn,0.115,7_Acorn,0.115,False,0.0,2,0.025,,,,0.115,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,0,True,8_Acorn|K_Acorn|9_Leaf|8_Bell,2:A_Acorn|3:7_Acorn,U_Heart|K_Heart|O_Acorn|O_Bell|O_Heart|U_Bell|9_Heart|U_Acorn|A_Heart|7_Heart|10_Heart|O_Leaf|A_Leaf|7_Leaf|8_Heart|K_Leaf,8_Acorn|K_Acorn,8_Acorn,0.055,K_Acorn,0.08,False,0.025,2,,,,,,,,,0.055,,,,,,,,,,,,0.08,,,,,,,,,,,
